Epoch,RMSE
1,197890.25
2,197890.234375
3,197890.234375
4,197890.234375
5,197890.21875
6,197890.21875
7,197890.21875
8,197890.21875
9,197890.21875
10,197890.203125
11,197890.203125
12,197890.203125
13,197890.203125
14,197890.1875
15,197890.1875
16,197890.1875
17,197890.1875
18,197890.1875
19,197890.171875
20,197890.171875
21,197890.171875
22,197890.15625
23,197890.15625
24,197890.15625
25,197890.15625
26,197890.15625
27,197890.140625
28,197890.140625
29,197890.140625
30,197890.125
31,197890.125
32,197890.125
33,197890.125
34,197890.125
35,197890.125
36,197890.109375
37,197890.109375
38,197890.109375
39,197890.109375
40,197890.09375
41,197890.09375
42,197890.09375
43,197890.09375
44,197890.078125
45,197890.078125
46,197890.078125
47,197890.0625
48,197890.0625
49,197890.0625
50,197890.0625
51,197890.046875
52,197890.046875
53,197890.046875
54,197890.046875
55,197890.046875
56,197890.03125
57,197890.03125
58,197890.03125
59,197890.015625
60,197890.015625
61,197890.015625
62,197890.015625
63,197890.015625
64,197890.0
65,197890.0
66,197890.0
67,197890.0
68,197890.0
69,197890.0
70,197889.984375
71,197889.984375
72,197889.984375
73,197889.984375
74,197889.96875
75,197889.96875
76,197889.96875
77,197889.96875
78,197889.96875
79,197889.96875
80,197889.953125
81,197889.953125
82,197889.953125
83,197889.9375
84,197889.9375
85,197889.9375
86,197889.9375
87,197889.921875
88,197889.921875
89,197889.921875
90,197889.921875
91,197889.921875
92,197889.90625
93,197889.90625
94,197889.90625
95,197889.890625
96,197889.890625
97,197889.890625
98,197889.890625
99,197889.890625
100,197889.875
