Epoch,RMSE
1,197026.40625
2,197026.25
3,197026.109375
4,197025.96875
5,197025.8125
6,197025.6875
7,197025.5625
8,197025.421875
9,197025.296875
10,197025.140625
11,197025.0
12,197024.859375
13,197024.71875
14,197024.5625
15,197024.40625
16,197024.25
17,197024.125
18,197024.0
19,197023.875
20,197023.734375
21,197023.59375
22,197023.453125
23,197023.328125
24,197023.1875
25,197023.046875
26,197022.90625
27,197022.78125
28,197022.640625
29,197022.5
30,197022.359375
31,197022.203125
32,197022.0625
33,197021.921875
34,197021.796875
35,197021.65625
36,197021.53125
37,197021.390625
38,197021.25
39,197021.125
40,197021.0
41,197020.859375
42,197020.71875
43,197020.59375
44,197020.46875
45,197020.3125
46,197020.1875
47,197020.046875
48,197019.90625
49,197019.765625
50,197019.625
51,197019.484375
52,197019.328125
53,197019.1875
54,197019.0625
55,197018.921875
56,197018.78125
57,197018.640625
58,197018.484375
59,197018.34375
60,197018.203125
61,197018.078125
62,197017.953125
63,197017.8125
64,197017.671875
65,197017.546875
66,197017.421875
67,197017.296875
68,197017.140625
69,197017.015625
70,197016.875
71,197016.765625
72,197016.640625
73,197016.5
74,197016.34375
75,197016.203125
76,197016.0625
77,197015.90625
78,197015.78125
79,197015.65625
80,197015.53125
81,197015.375
82,197015.234375
83,197015.09375
84,197014.953125
85,197014.828125
86,197014.6875
87,197014.53125
88,197014.40625
89,197014.265625
90,197014.109375
91,197013.953125
92,197013.828125
93,197013.671875
94,197013.515625
95,197013.359375
96,197013.203125
97,197013.0625
98,197012.9375
99,197012.796875
100,197012.671875
